image_id,chest,arm,side,zone,overlap,position,size,seed,orig_w,orig_h,crop_x0,crop_y0,crop_side,scale,lung_pct,lung_x0,lung_y0,lung_x1,lung_y1,cx,cy,mask_x0,mask_y0,mask_x1,mask_y1,mask_px_requested,mask_px_achieved,edit_inside,local_std,edit_norm,cnr,structure_density,density_spread,det_edited,det_background,gain,n_boxes,coord_space,prompt,skip_ratio,guidance,steps,radedit_twin,patch_src,patch_idx,patch_side_px,scale_factor,paste_shift,lesion_contrast,dest_core_std
c0001_left_mid_moderate_small__cp,c0001,copypaste,left,mid,moderate,lateral,small,723575437,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2813,0.4004,0.2354,0.3545,0.3272,0.4463,47,47.0,,32.22,,,0.6984,0.5254,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_mid_moderate_small,n0727,0,80,0.588,-0.1031,0.0489,0.0593
c0001_left_mid_on_structure_small__cp,c0001,copypaste,left,mid,on_structure,medial,small,521258802,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3997,0.4004,0.3538,0.3545,0.4456,0.4463,47,47.0,,57.22,,,0.9789,0.5254,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_mid_on_structure_small,n1039,0,87,0.54,0.1637,0.2123,0.1495
c0001_left_mid_clear_medium__cp,c0001,copypaste,left,mid,clear,lateral,medium,1982617535,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3249,0.4004,0.2663,0.3418,0.3835,0.459,60,60.0,,28.85,,,0.6253,0.3868,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_mid_clear_medium,n0570,0,63,0.952,0.0882,0.1002,0.0689
c0001_left_mid_moderate_medium__cp,c0001,copypaste,left,mid,moderate,medial,medium,1289169899,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3605,0.4004,0.302,0.3418,0.4191,0.459,60,60.0,,41.58,,,0.6874,0.3868,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_mid_moderate_medium,n0675,1,78,0.769,-0.4852,0.0204,0.1137
c0001_left_mid_on_structure_medium__cp,c0001,copypaste,left,mid,on_structure,medial,medium,715403276,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3891,0.4004,0.3305,0.3418,0.4477,0.459,60,60.0,,59.28,,,0.9019,0.3868,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_mid_on_structure_medium,n1103,0,90,0.667,-0.182,0.0196,0.1463
c0001_left_mid_clear_large__cp,c0001,copypaste,left,mid,clear,lateral,large,583386604,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.315,0.4004,0.2427,0.3281,0.3872,0.4727,74,74.0,,40.89,,,0.6339,0.2565,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_mid_clear_large,n0821,1,153,0.484,-0.1533,0.0243,0.0684
c0001_left_mid_moderate_large__cp,c0001,copypaste,left,mid,moderate,lateral,large,735899975,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2922,0.4004,0.2199,0.3281,0.3644,0.4727,74,74.0,,50.04,,,0.6742,0.2565,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_mid_moderate_large,n0694,1,208,0.356,0.0606,0.1045,0.0662
c0001_left_mid_on_structure_large__cp,c0001,copypaste,left,mid,on_structure,medial,large,1248148765,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3776,0.4004,0.3053,0.3281,0.4498,0.4727,74,74.0,,58.88,,,0.8099,0.2565,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_mid_on_structure_large,n0598,0,112,0.661,-0.0061,-0.0001,0.1428
c0001_left_lower_clear_small__cp,c0001,copypaste,left,lower,clear,lateral,small,1200166596,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2559,0.547,0.21,0.5011,0.3018,0.5929,47,47.0,,43.53,,,1.0185,0.4628,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_lower_clear_small,n0622,0,340,0.138,0.145,0.0707,0.0599
c0001_left_lower_moderate_small__cp,c0001,copypaste,left,lower,moderate,medial,small,659528365,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3743,0.547,0.3284,0.5011,0.4202,0.5929,47,47.0,,39.4,,,1.0642,0.4628,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_lower_moderate_small,n1063,0,247,0.19,0.1849,0.1626,0.1005
c0001_left_lower_on_structure_small__cp,c0001,copypaste,left,lower,on_structure,medial,small,1418272218,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3997,0.547,0.3538,0.5011,0.4456,0.5929,47,47.0,,47.1,,,1.2658,0.4628,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_lower_on_structure_small,n0299,0,68,0.691,-0.1054,0.0433,0.1263
c0001_left_lower_clear_medium__cp,c0001,copypaste,left,lower,clear,medial,medium,377504126,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3605,0.547,0.302,0.4884,0.4191,0.6055,60,60.0,,41.03,,,1.0187,0.2764,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_lower_clear_medium,n0926,0,81,0.741,0.1549,0.0469,0.0926
c0001_left_lower_moderate_medium__cp,c0001,copypaste,left,lower,moderate,lateral,medium,234888998,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2893,0.547,0.2307,0.4884,0.3479,0.6055,60,60.0,,41.91,,,1.0471,0.2764,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_lower_moderate_medium,n0758,0,79,0.759,-0.2592,0.0135,0.0823
c0001_left_lower_on_structure_medium__cp,c0001,copypaste,left,lower,on_structure,medial,medium,28695838,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3891,0.547,0.3305,0.4884,0.4477,0.6055,60,60.0,,46.22,,,1.1709,0.2764,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_lower_on_structure_medium,n0004,0,79,0.759,0.2906,0.0702,0.1272
c0001_left_lower_clear_large__cp,c0001,copypaste,left,lower,clear,medial,large,57433921,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3434,0.547,0.2712,0.4747,0.4157,0.6192,74,74.0,,44.2,,,1.0147,0.1589,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_lower_clear_large,n0439,0,181,0.409,0.09,0.1242,0.0919
c0001_left_lower_moderate_large__cp,c0001,copypaste,left,lower,moderate,lateral,large,540146499,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2979,0.547,0.2256,0.4747,0.3701,0.6192,74,74.0,,48.64,,,1.0294,0.1589,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_lower_moderate_large,n0969,0,81,0.914,0.1052,0.1412,0.0822
c0001_left_lower_on_structure_large__cp,c0001,copypaste,left,lower,on_structure,medial,large,1866000614,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3776,0.547,0.3053,0.4747,0.4498,0.6192,74,74.0,,47.82,,,1.1028,0.1589,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_lower_on_structure_large,n0610,0,285,0.26,0.0177,-0.0107,0.1243
c0001_right_upper_clear_small__cp,c0001,copypaste,right,upper,clear,medial,small,1296750956,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.703,0.2462,0.6571,0.2003,0.7489,0.2921,47,47.0,,38.24,,,0.4443,0.7565,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_upper_clear_small,n0037,1,245,0.192,-0.1367,0.0406,0.0684
c0001_right_upper_moderate_small__cp,c0001,copypaste,right,upper,moderate,medial,small,1887995272,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6157,0.2462,0.5698,0.2003,0.6616,0.2921,47,47.0,,50.97,,,0.4938,0.7565,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_upper_moderate_small,n0869,0,62,0.758,-0.3838,0.0096,0.0837
c0001_right_upper_on_structure_small__cp,c0001,copypaste,right,upper,on_structure,lateral,small,808407317,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.8011,0.2462,0.7552,0.2003,0.847,0.2921,47,47.0,,50.22,,,0.9906,0.7565,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_upper_on_structure_small,n0826,0,119,0.395,-0.0411,0.0708,0.193
c0001_right_upper_clear_medium__cp,c0001,copypaste,right,upper,clear,medial,medium,1246924442,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6852,0.2462,0.6266,0.1876,0.7438,0.3048,60,60.0,,38.54,,,0.4591,0.5852,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_upper_clear_medium,n0957,1,76,0.789,-0.1907,0.0596,0.0736
c0001_right_upper_moderate_medium__cp,c0001,copypaste,right,upper,moderate,medial,medium,362225219,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6277,0.2462,0.5691,0.1876,0.6863,0.3048,60,60.0,,53.08,,,0.5032,0.5852,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_upper_moderate_medium,n0183,0,63,0.952,0.0605,0.0453,0.0914
c0001_right_upper_on_structure_medium__cp,c0001,copypaste,right,upper,on_structure,lateral,medium,1544298758,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7904,0.2462,0.7318,0.1876,0.849,0.3048,60,60.0,,52.33,,,0.8895,0.5852,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_upper_on_structure_medium,n0098,0,66,0.909,0.1446,0.0332,0.1945
c0001_right_upper_clear_large__cp,c0001,copypaste,right,upper,clear,medial,large,450408997,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6895,0.2462,0.6172,0.1739,0.7617,0.3185,74,74.0,,48.82,,,0.4743,0.4582,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_upper_clear_large,n0976,2,103,0.718,-0.3438,0.0181,0.0839
c0001_right_upper_moderate_large__cp,c0001,copypaste,right,upper,moderate,medial,large,1162428310,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6407,0.2462,0.5684,0.1739,0.7129,0.3185,74,74.0,,55.54,,,0.4982,0.4582,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_upper_moderate_large,n0030,0,82,0.902,0.0742,0.1128,0.0958
c0001_right_upper_on_structure_large__cp,c0001,copypaste,right,upper,on_structure,lateral,large,1096198121,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7789,0.2462,0.7067,0.1739,0.8512,0.3185,74,74.0,,54.57,,,0.8035,0.4582,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_upper_on_structure_large,n0597,0,130,0.569,-0.022,0.0661,0.1967
c0001_right_mid_clear_small__cp,c0001,copypaste,right,mid,clear,lateral,small,543849377,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7357,0.3955,0.6898,0.3496,0.7816,0.4414,47,47.0,,27.74,,,0.4637,0.7746,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_mid_clear_small,n0091,0,125,0.376,-0.2499,0.0322,0.06
c0001_right_mid_moderate_small__cp,c0001,copypaste,right,mid,moderate,lateral,small,330132637,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7793,0.3955,0.7334,0.3496,0.8252,0.4414,47,47.0,,63.24,,,0.6277,0.7746,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_mid_moderate_small,n0323,0,153,0.307,0.1344,0.1231,0.1021
c0001_right_mid_on_structure_small__cp,c0001,copypaste,right,mid,on_structure,medial,small,266709459,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6048,0.3955,0.5589,0.3496,0.6507,0.4414,47,47.0,,56.75,,,1.0021,0.7746,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_mid_on_structure_small,n0534,0,118,0.398,0.3476,0.0618,0.0983
c0001_right_mid_clear_medium__cp,c0001,copypaste,right,mid,clear,medial,medium,1748162420,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7139,0.3955,0.6553,0.3369,0.7725,0.4541,60,60.0,,35.02,,,0.4632,0.5799,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_mid_clear_medium,n0476,0,77,0.779,0.0574,0.0753,0.0667
c0001_right_mid_moderate_medium__cp,c0001,copypaste,right,mid,moderate,lateral,medium,1047959793,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7713,0.3955,0.7127,0.3369,0.8299,0.4541,60,60.0,,61.69,,,0.5675,0.5799,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_mid_moderate_medium,n0450,0,147,0.408,0.0786,0.1132,0.1144
c0001_right_mid_on_structure_medium__cp,c0001,copypaste,right,mid,on_structure,medial,medium,753312723,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6182,0.3955,0.5596,0.3369,0.6768,0.4541,60,60.0,,64.67,,,0.9038,0.5799,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_mid_on_structure_medium,n0033,0,88,0.682,0.1802,0.1005,0.12
c0001_right_mid_clear_large__cp,c0001,copypaste,right,mid,clear,lateral,large,137587670,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7383,0.3955,0.666,0.3232,0.8105,0.4678,74,74.0,,56.18,,,0.462,0.4022,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_mid_clear_large,n0005,0,184,0.402,-0.2326,0.0366,0.0719
c0001_right_mid_moderate_large__cp,c0001,copypaste,right,mid,moderate,medial,large,1917340079,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6813,0.3955,0.6091,0.3232,0.7536,0.4678,74,74.0,,52.82,,,0.5441,0.4022,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_mid_moderate_large,n0145,0,165,0.448,-0.4841,0.016,0.1071
c0001_right_mid_on_structure_large__cp,c0001,copypaste,right,mid,on_structure,lateral,large,372491727,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7871,0.3955,0.7148,0.3232,0.8593,0.4678,74,74.0,,60.73,,,0.7685,0.4022,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_mid_on_structure_large,n0006,1,115,0.643,0.3256,0.0301,0.22
c0001_right_lower_clear_small__cp,c0001,copypaste,right,lower,clear,lateral,small,313344060,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.8011,0.5448,0.7552,0.4989,0.847,0.5907,47,47.0,,55.5,,,0.7299,0.6043,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_lower_clear_small,n0755,0,244,0.193,0.309,0.0949,0.1718
c0001_right_lower_moderate_small__cp,c0001,copypaste,right,lower,moderate,medial,small,743118344,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7139,0.5448,0.668,0.4989,0.7598,0.5907,47,47.0,,45.79,,,1.1366,0.6043,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_lower_moderate_small,n0585,0,55,0.855,0.1572,0.0471,0.0591
c0001_right_lower_on_structure_small__cp,c0001,copypaste,right,lower,on_structure,medial,small,1683963246,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6594,0.5448,0.6135,0.4989,0.7052,0.5907,47,47.0,,27.16,,,1.2527,0.6043,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_lower_on_structure_small,n0723,0,62,0.758,0.064,-0.0053,0.0287
c0001_right_lower_clear_medium__cp,c0001,copypaste,right,lower,clear,lateral,medium,2131502694,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7713,0.5448,0.7127,0.4862,0.8299,0.6034,60,60.0,,55.07,,,0.773,0.5286,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_lower_clear_medium,n0277,0,100,0.6,0.0849,-0.0066,0.1484
c0001_right_lower_moderate_medium__cp,c0001,copypaste,right,lower,moderate,medial,medium,472714200,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7139,0.5448,0.6553,0.4862,0.7725,0.6034,60,60.0,,46.83,,,1.1206,0.5286,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_lower_moderate_medium,n0687,2,65,0.923,0.1807,0.0146,0.0701
c0001_right_lower_on_structure_medium__cp,c0001,copypaste,right,lower,on_structure,medial,medium,1599175677,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6373,0.5448,0.5787,0.4862,0.6959,0.6034,60,60.0,,37.28,,,1.2438,0.5286,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_lower_on_structure_medium,n0876,0,245,0.245,0.3353,0.0805,0.0321
c0001_right_lower_clear_large__cp,c0001,copypaste,right,lower,clear,lateral,large,947114179,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7871,0.5448,0.7148,0.4725,0.8593,0.6171,74,74.0,,50.75,,,0.8053,0.4678,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_lower_clear_large,n0426,0,184,0.402,0.1744,0.1633,0.1805
c0001_right_lower_moderate_large__cp,c0001,copypaste,right,lower,moderate,medial,large,439600627,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7139,0.5448,0.6416,0.4725,0.7861,0.6171,74,74.0,,52.2,,,1.0926,0.4678,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_lower_moderate_large,n0516,0,93,0.796,0.1858,0.1513,0.1221
c0001_right_lower_on_structure_large__cp,c0001,copypaste,right,lower,on_structure,medial,large,103774900,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6488,0.5448,0.5765,0.4725,0.7211,0.6171,74,74.0,,54.03,,,1.2291,0.4678,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_right_lower_on_structure_large,n1133,0,82,0.902,0.449,0.0732,0.0387
c0003_left_upper_clear_small__cp,c0003,copypaste,left,upper,clear,medial,small,974488170,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.2965,0.2131,0.2506,0.1672,0.3424,0.259,47,47.0,,20.21,,,0.5246,1.1456,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0003_left_upper_clear_small,n0914,1,78,0.603,-0.029,0.1383,0.0669
c0003_left_upper_moderate_small__cp,c0003,copypaste,left,upper,moderate,medial,small,1694596112,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.3544,0.2131,0.3085,0.1672,0.4003,0.259,47,47.0,,31.49,,,0.6128,1.1456,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0003_left_upper_moderate_small,n1112,0,116,0.405,-0.0077,0.0616,0.0729
c0003_left_upper_on_structure_small__cp,c0003,copypaste,left,upper,on_structure,lateral,small,453643541,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.169,0.2131,0.1231,0.1672,0.2149,0.259,47,47.0,,58.8,,,1.3533,1.1456,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0003_left_upper_on_structure_small,n0418,0,75,0.627,0.0311,0.0795,0.1651
c0003_left_upper_clear_medium__cp,c0003,copypaste,left,upper,clear,medial,medium,2146101997,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.272,0.2131,0.2134,0.1545,0.3306,0.2717,60,60.0,,25.33,,,0.507,0.9656,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0003_left_upper_clear_medium,n0779,0,71,0.845,-0.0001,0.1547,0.0707
c0003_left_upper_moderate_medium__cp,c0003,copypaste,left,upper,moderate,lateral,medium,1645379893,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.2412,0.2131,0.1826,0.1545,0.2998,0.2717,60,60.0,,54.03,,,0.5667,0.9656,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0003_left_upper_moderate_medium,n1082,0,242,0.248,0.0842,0.172,0.0818
c0003_left_upper_on_structure_medium__cp,c0003,copypaste,left,upper,on_structure,lateral,medium,1578570391,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.1797,0.2131,0.1211,0.1545,0.2383,0.2717,60,60.0,,61.88,,,1.1652,0.9656,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0003_left_upper_on_structure_medium,n0733,0,101,0.594,0.0346,0.0251,0.1915
c0003_left_upper_clear_large__cp,c0003,copypaste,left,upper,clear,medial,large,239939022,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.2882,0.2131,0.2159,0.1408,0.3604,0.2854,74,74.0,,30.25,,,0.4878,0.765,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0003_left_upper_clear_large,n0949,0,153,0.484,-0.0973,0.0331,0.0672
c0003_left_upper_moderate_large__cp,c0003,copypaste,left,upper,moderate,lateral,large,917181236,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.2441,0.2131,0.1718,0.1408,0.3163,0.2854,74,74.0,,59.26,,,0.5572,0.765,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0003_left_upper_moderate_large,n0774,0,119,0.622,-0.3673,0.0567,0.0874
c0003_left_upper_on_structure_large__cp,c0003,copypaste,left,upper,on_structure,lateral,large,819283410,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.1912,0.2131,0.1189,0.1408,0.2634,0.2854,74,74.0,,63.5,,,1.0011,0.765,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0003_left_upper_on_structure_large,n0791,0,384,0.193,0.3466,0.1904,0.2038
