image_id,chest,arm,side,zone,overlap,position,size,seed,orig_w,orig_h,crop_x0,crop_y0,crop_side,scale,lung_pct,lung_x0,lung_y0,lung_x1,lung_y1,cx,cy,mask_x0,mask_y0,mask_x1,mask_y1,mask_px_requested,mask_px_achieved,edit_inside,local_std,edit_norm,cnr,structure_density,density_spread,det_edited,det_background,gain,n_boxes,coord_space,prompt,skip_ratio,guidance,steps
c0001_left_mid_clear_small,c0001,lesion,left,mid,clear,medial,small,1841332454,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.349,0.4004,0.3031,0.3545,0.3949,0.4463,47,47.0,33.0,32.73,1.0083,1.3408,0.6077,0.5254,0.7026,0.0,0.7026,3,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_mid_moderate_small,c0001,lesion,left,mid,moderate,lateral,small,723575437,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2813,0.4004,0.2354,0.3545,0.3272,0.4463,47,47.0,21.79,32.22,0.6763,0.6815,0.6984,0.5254,0.9612,0.0,0.9612,2,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_mid_on_structure_small,c0001,lesion,left,mid,on_structure,medial,small,521258802,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3997,0.4004,0.3538,0.3545,0.4456,0.4463,47,47.0,12.13,57.22,0.212,0.1726,0.9789,0.5254,0.0,0.0,0.0,0,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_mid_clear_medium,c0001,lesion,left,mid,clear,lateral,medium,1982617535,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3249,0.4004,0.2663,0.3418,0.3835,0.459,60,60.0,39.65,28.85,1.3744,1.8375,0.6253,0.3868,0.9433,0.0,0.9433,7,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_mid_moderate_medium,c0001,lesion,left,mid,moderate,medial,medium,1289169899,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3605,0.4004,0.302,0.3418,0.4191,0.459,60,60.0,25.24,41.58,0.607,0.865,0.6874,0.3868,0.1645,0.0,0.1645,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_mid_on_structure_medium,c0001,lesion,left,mid,on_structure,medial,medium,715403276,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3891,0.4004,0.3305,0.3418,0.4477,0.459,60,60.0,19.33,59.28,0.3261,0.3891,0.9019,0.3868,0.0,0.0,0.0,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_mid_clear_large,c0001,lesion,left,mid,clear,lateral,large,583386604,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.315,0.4004,0.2427,0.3281,0.3872,0.4727,74,74.0,34.05,40.89,0.8326,1.1288,0.6339,0.2565,0.9572,0.0,0.9572,2,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_mid_clear_large__null,c0001,null_edit,left,mid,clear,lateral,large,583386604,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.315,0.4004,0.2427,0.3281,0.3872,0.4727,74,74.0,8.05,40.89,0.1968,0.0649,0.6339,0.2565,0.0,0.0,0.0,1,fraction_of_image,"Normal right lung parenchyma, no focal abnormality",0.3,7.5,200
c0001_left_mid_moderate_large,c0001,lesion,left,mid,moderate,lateral,large,735899975,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2922,0.4004,0.2199,0.3281,0.3644,0.4727,74,74.0,42.52,50.04,0.8496,1.1235,0.6742,0.2565,0.9573,0.0,0.9573,4,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_mid_on_structure_large,c0001,lesion,left,mid,on_structure,medial,large,1248148765,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3776,0.4004,0.3053,0.3281,0.4498,0.4727,74,74.0,19.54,58.88,0.3318,0.4124,0.8099,0.2565,0.0,0.0,0.0,0,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_lower_clear_small,c0001,lesion,left,lower,clear,lateral,small,1200166596,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2559,0.547,0.21,0.5011,0.3018,0.5929,47,47.0,11.97,43.53,0.275,-0.114,1.0185,0.4628,0.4886,0.0,0.4886,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_lower_moderate_small,c0001,lesion,left,lower,moderate,medial,small,659528365,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3743,0.547,0.3284,0.5011,0.4202,0.5929,47,47.0,9.69,39.4,0.246,0.0458,1.0642,0.4628,0.0,0.0,0.0,2,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_lower_on_structure_small,c0001,lesion,left,lower,on_structure,medial,small,1418272218,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3997,0.547,0.3538,0.5011,0.4456,0.5929,47,47.0,8.26,47.1,0.1754,-0.1083,1.2658,0.4628,0.0,0.0,0.0,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_lower_clear_medium,c0001,lesion,left,lower,clear,medial,medium,377504126,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3605,0.547,0.302,0.4884,0.4191,0.6055,60,60.0,15.94,41.03,0.3886,0.4621,1.0187,0.2764,0.9501,0.0,0.9501,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_lower_moderate_medium,c0001,lesion,left,lower,moderate,lateral,medium,234888998,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2893,0.547,0.2307,0.4884,0.3479,0.6055,60,60.0,18.58,41.91,0.4434,0.5533,1.0471,0.2764,0.104,0.0,0.104,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_lower_on_structure_medium,c0001,lesion,left,lower,on_structure,medial,medium,28695838,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3891,0.547,0.3305,0.4884,0.4477,0.6055,60,60.0,9.34,46.22,0.202,-0.0493,1.1709,0.2764,0.0,0.0,0.0,0,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_lower_clear_large,c0001,lesion,left,lower,clear,medial,large,57433921,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3434,0.547,0.2712,0.4747,0.4157,0.6192,74,74.0,19.5,44.2,0.4411,0.5624,1.0147,0.1589,0.9674,0.0,0.9674,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_lower_clear_large__null,c0001,null_edit,left,lower,clear,medial,large,57433921,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3434,0.547,0.2712,0.4747,0.4157,0.6192,74,74.0,12.07,44.2,0.2731,-0.2565,1.0147,0.1589,0.0,0.0,0.0,0,fraction_of_image,"Normal right lung parenchyma, no focal abnormality",0.3,7.5,200
c0001_left_lower_moderate_large,c0001,lesion,left,lower,moderate,lateral,large,540146499,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2979,0.547,0.2256,0.4747,0.3701,0.6192,74,74.0,19.91,48.64,0.4094,0.4679,1.0294,0.1589,0.9371,0.0,0.9371,2,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_lower_on_structure_large,c0001,lesion,left,lower,on_structure,medial,large,1866000614,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3776,0.547,0.3053,0.4747,0.4498,0.6192,74,74.0,13.5,47.82,0.2824,0.0632,1.1028,0.1589,0.0,0.0,0.0,0,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_upper_clear_small,c0001,lesion,right,upper,clear,medial,small,1296750956,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.703,0.2462,0.6571,0.2003,0.7489,0.2921,47,47.0,16.21,38.24,0.4239,0.5166,0.4443,0.7565,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_upper_moderate_small,c0001,lesion,right,upper,moderate,medial,small,1887995272,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6157,0.2462,0.5698,0.2003,0.6616,0.2921,47,47.0,16.02,50.97,0.3142,0.1484,0.4938,0.7565,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_upper_on_structure_small,c0001,lesion,right,upper,on_structure,lateral,small,808407317,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.8011,0.2462,0.7552,0.2003,0.847,0.2921,47,47.0,6.48,50.22,0.1291,0.0003,0.9906,0.7565,0.0,0.0,0.0,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_upper_clear_medium,c0001,lesion,right,upper,clear,medial,medium,1246924442,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6852,0.2462,0.6266,0.1876,0.7438,0.3048,60,60.0,34.61,38.54,0.898,1.1096,0.4591,0.5852,0.8569,0.0,0.8569,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_upper_moderate_medium,c0001,lesion,right,upper,moderate,medial,medium,362225219,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6277,0.2462,0.5691,0.1876,0.6863,0.3048,60,60.0,24.62,53.08,0.4639,0.4606,0.5032,0.5852,0.4424,0.0,0.4424,2,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_upper_on_structure_medium,c0001,lesion,right,upper,on_structure,lateral,medium,1544298758,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7904,0.2462,0.7318,0.1876,0.849,0.3048,60,60.0,5.85,52.33,0.1119,0.0451,0.8895,0.5852,0.0,0.0,0.0,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_upper_clear_large,c0001,lesion,right,upper,clear,medial,large,450408997,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6895,0.2462,0.6172,0.1739,0.7617,0.3185,74,74.0,41.66,48.82,0.8533,1.1569,0.4743,0.4582,0.8886,0.0,0.8886,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_upper_clear_large__null,c0001,null_edit,right,upper,clear,medial,large,450408997,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6895,0.2462,0.6172,0.1739,0.7617,0.3185,74,74.0,7.58,48.82,0.1553,0.0911,0.4743,0.4582,0.0,0.0,0.0,0,fraction_of_image,"Normal left lung parenchyma, no focal abnormality",0.3,7.5,200
c0001_right_upper_moderate_large,c0001,lesion,right,upper,moderate,medial,large,1162428310,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6407,0.2462,0.5684,0.1739,0.7129,0.3185,74,74.0,28.58,55.54,0.5145,0.5555,0.4982,0.4582,0.711,0.0,0.711,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_upper_on_structure_large,c0001,lesion,right,upper,on_structure,lateral,large,1096198121,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7789,0.2462,0.7067,0.1739,0.8512,0.3185,74,74.0,7.55,54.57,0.1383,0.0364,0.8035,0.4582,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_mid_clear_small,c0001,lesion,right,mid,clear,lateral,small,543849377,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7357,0.3955,0.6898,0.3496,0.7816,0.4414,47,47.0,11.01,27.74,0.3968,0.3309,0.4637,0.7746,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_mid_moderate_small,c0001,lesion,right,mid,moderate,lateral,small,330132637,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7793,0.3955,0.7334,0.3496,0.8252,0.4414,47,47.0,10.2,63.24,0.1613,0.1855,0.6277,0.7746,0.0,0.0,0.0,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_mid_on_structure_small,c0001,lesion,right,mid,on_structure,medial,small,266709459,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6048,0.3955,0.5589,0.3496,0.6507,0.4414,47,47.0,8.6,56.75,0.1516,-0.1266,1.0021,0.7746,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_mid_clear_medium,c0001,lesion,right,mid,clear,medial,medium,1748162420,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7139,0.3955,0.6553,0.3369,0.7725,0.4541,60,60.0,34.63,35.02,0.9889,1.3118,0.4632,0.5799,0.8692,0.0,0.8692,3,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_mid_moderate_medium,c0001,lesion,right,mid,moderate,lateral,medium,1047959793,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7713,0.3955,0.7127,0.3369,0.8299,0.4541,60,60.0,11.74,61.69,0.1903,0.2388,0.5675,0.5799,0.0,0.0,0.0,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_mid_on_structure_medium,c0001,lesion,right,mid,on_structure,medial,medium,753312723,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6182,0.3955,0.5596,0.3369,0.6768,0.4541,60,60.0,14.16,64.67,0.219,0.0231,0.9038,0.5799,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_mid_clear_large,c0001,lesion,right,mid,clear,lateral,large,137587670,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7383,0.3955,0.666,0.3232,0.8105,0.4678,74,74.0,21.54,56.18,0.3834,0.5022,0.462,0.4022,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_mid_clear_large__null,c0001,null_edit,right,mid,clear,lateral,large,137587670,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7383,0.3955,0.666,0.3232,0.8105,0.4678,74,74.0,8.76,56.18,0.1559,0.0878,0.462,0.4022,0.0,0.0,0.0,0,fraction_of_image,"Normal left lung parenchyma, no focal abnormality",0.3,7.5,200
c0001_right_mid_moderate_large,c0001,lesion,right,mid,moderate,medial,large,1917340079,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6813,0.3955,0.6091,0.3232,0.7536,0.4678,74,74.0,42.45,52.82,0.8036,1.1837,0.5441,0.4022,0.952,0.0,0.952,2,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_mid_on_structure_large,c0001,lesion,right,mid,on_structure,lateral,large,372491727,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7871,0.3955,0.7148,0.3232,0.8593,0.4678,74,74.0,10.1,60.73,0.1664,0.1888,0.7685,0.4022,0.0,0.0,0.0,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_lower_clear_small,c0001,lesion,right,lower,clear,lateral,small,313344060,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.8011,0.5448,0.7552,0.4989,0.847,0.5907,47,47.0,6.07,55.5,0.1094,0.0716,0.7299,0.6043,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_lower_moderate_small,c0001,lesion,right,lower,moderate,medial,small,743118344,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7139,0.5448,0.668,0.4989,0.7598,0.5907,47,47.0,4.24,45.79,0.0926,-0.0157,1.1366,0.6043,0.0,0.0,0.0,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_lower_on_structure_small,c0001,lesion,right,lower,on_structure,medial,small,1683963246,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6594,0.5448,0.6135,0.4989,0.7052,0.5907,47,47.0,3.61,27.16,0.1329,0.069,1.2527,0.6043,0.0,0.0,0.0,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_lower_clear_medium,c0001,lesion,right,lower,clear,lateral,medium,2131502694,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7713,0.5448,0.7127,0.4862,0.8299,0.6034,60,60.0,6.84,55.07,0.1242,0.1137,0.773,0.5286,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_lower_moderate_medium,c0001,lesion,right,lower,moderate,medial,medium,472714200,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7139,0.5448,0.6553,0.4862,0.7725,0.6034,60,60.0,5.31,46.83,0.1134,-0.0415,1.1206,0.5286,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_lower_on_structure_medium,c0001,lesion,right,lower,on_structure,medial,medium,1599175677,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6373,0.5448,0.5787,0.4862,0.6959,0.6034,60,60.0,3.29,37.28,0.0882,0.055,1.2438,0.5286,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_lower_clear_large,c0001,lesion,right,lower,clear,lateral,large,947114179,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7871,0.5448,0.7148,0.4725,0.8593,0.6171,74,74.0,7.94,50.75,0.1564,0.1934,0.8053,0.4678,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_lower_clear_large__null,c0001,null_edit,right,lower,clear,lateral,large,947114179,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7871,0.5448,0.7148,0.4725,0.8593,0.6171,74,74.0,7.18,50.75,0.1415,0.1539,0.8053,0.4678,0.0,0.0,0.0,0,fraction_of_image,"Normal left lung parenchyma, no focal abnormality",0.3,7.5,200
c0001_right_lower_moderate_large,c0001,lesion,right,lower,moderate,medial,large,439600627,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.7139,0.5448,0.6416,0.4725,0.7861,0.6171,74,74.0,11.14,52.2,0.2135,-0.216,1.0926,0.4678,0.0,0.0,0.0,0,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0001_right_lower_on_structure_large,c0001,lesion,right,lower,on_structure,medial,large,103774900,1024,1024,0,0,1024,0.5,40,0.5566,0.1289,0.8711,0.6621,0.6488,0.5448,0.5765,0.4725,0.7211,0.6171,74,74.0,3.58,54.03,0.0663,0.022,1.2291,0.4678,0.0,0.0,0.0,1,fraction_of_image,Left upper lobe pulmonary nodule,0.3,7.5,200
c0003_left_upper_clear_small,c0003,lesion,left,upper,clear,medial,small,974488170,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.2965,0.2131,0.2506,0.1672,0.3424,0.259,47,47.0,77.63,20.21,3.8416,5.3146,0.5246,1.1456,0.9882,0.0,0.9882,5,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0003_left_upper_moderate_small,c0003,lesion,left,upper,moderate,medial,small,1694596112,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.3544,0.2131,0.3085,0.1672,0.4003,0.259,47,47.0,71.64,31.49,2.2752,2.9401,0.6128,1.1456,0.9736,0.0,0.9736,4,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0003_left_upper_on_structure_small,c0003,lesion,left,upper,on_structure,lateral,small,453643541,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.169,0.2131,0.1231,0.1672,0.2149,0.259,47,47.0,9.16,58.8,0.1558,-0.0736,1.3533,1.1456,0.0,0.0,0.0,3,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0003_left_upper_clear_medium,c0003,lesion,left,upper,clear,medial,medium,2146101997,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.272,0.2131,0.2134,0.1545,0.3306,0.2717,60,60.0,64.08,25.33,2.5292,3.3088,0.507,0.9656,0.9519,0.0,0.9519,4,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0003_left_upper_moderate_medium,c0003,lesion,left,upper,moderate,lateral,medium,1645379893,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.2412,0.2131,0.1826,0.1545,0.2998,0.2717,60,60.0,44.73,54.03,0.8279,1.0219,0.5667,0.9656,0.8209,0.0,0.8209,7,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0003_left_upper_on_structure_medium,c0003,lesion,left,upper,on_structure,lateral,medium,1578570391,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.1797,0.2131,0.1211,0.1545,0.2383,0.2717,60,60.0,11.05,61.88,0.1785,-0.1084,1.1652,0.9656,0.0,0.0,0.0,4,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0003_left_upper_clear_large,c0003,lesion,left,upper,clear,medial,large,239939022,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.2882,0.2131,0.2159,0.1408,0.3604,0.2854,74,74.0,77.07,30.25,2.548,3.0847,0.4878,0.765,0.6941,0.0,0.6941,8,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0003_left_upper_clear_large__null,c0003,null_edit,left,upper,clear,medial,large,239939022,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.2882,0.2131,0.2159,0.1408,0.3604,0.2854,74,74.0,9.27,30.25,0.3064,-0.1762,0.4878,0.765,0.0,0.0,0.0,5,fraction_of_image,"Normal right lung parenchyma, no focal abnormality",0.3,7.5,200
c0003_left_upper_moderate_large,c0003,lesion,left,upper,moderate,lateral,large,917181236,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.2441,0.2131,0.1718,0.1408,0.3163,0.2854,74,74.0,65.22,59.26,1.1005,1.4136,0.5572,0.765,0.9363,0.0,0.9363,9,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0003_left_upper_on_structure_large,c0003,lesion,left,upper,on_structure,lateral,large,819283410,2834,2851,0,8,2834,0.18066,35,0.0977,0.0391,0.4258,0.8301,0.1912,0.2131,0.1189,0.1408,0.2634,0.2854,74,74.0,14.21,63.5,0.2237,-0.0677,1.0011,0.765,0.2178,0.0,0.2178,6,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
